t,Vc,Vc_f
0.01,0.86,0.98
0.02,0.98,0.94
0.03,1.27,0.97
0.04,1.39,0.97
0.05,1.25,0.98
0.06,1.1,1
0.07,1.22,0.99
0.08,1.5,1.02
0.09,1.62,1.2
0.1,1.47,1.33
0.11,1.32,1.37
0.12,1.43,1.36
0.13,1.7,1.35
0.14,1.81,1.48
0.15,1.65,1.59
0.16,1.49,1.6
0.17,1.58,1.57
0.18,1.84,1.56
0.19,1.93,1.65
0.2,1.76,1.74
0.21,1.58,1.73
0.22,1.67,1.7
0.23,1.91,1.67
0.24,1.99,1.75
0.25,1.8,1.83
0.26,1.61,1.8
0.27,1.68,1.76
0.28,1.9,1.72
0.29,1.97,1.78
0.3,1.76,1.84
0.31,1.55,1.8
0.32,1.61,1.74
0.33,1.82,1.68
0.34,1.87,1.73
0.35,1.65,1.77
0.36,1.43,1.72
0.37,1.47,1.65
0.38,1.67,1.57
0.39,1.7,1.6
0.4,1.47,1.64
0.41,1.24,1.57
0.42,1.27,1.49
0.43,1.46,1.4
0.44,1.48,1.4
0.45,1.25,1.45
0.46,1.01,1.36
0.47,1.03,1.26
0.48,1.22,1.18
0.49,1.24,1.17
0.5,1,1.22
0.51,0.76,1.1
0.52,0.78,1.01
0.53,0.97,0.93
0.54,0.99,0.92
0.55,0.75,0.98
0.56,0.52,0.86
0.57,0.54,0.75
0.58,0.73,0.69
0.59,0.76,0.68
0.6,0.53,0.73
0.61,0.3,0.63
0.62,0.33,0.53
0.63,0.53,0.48
0.64,0.57,0.47
0.65,0.35,0.52
0.66,0.13,0.43
0.67,0.18,0.34
0.68,0.39,0.3
0.69,0.45,0.31
0.7,0.24,0.36
0.71,0.03,0.3
0.72,0.1,0.22
0.73,0.32,0.18
0.74,0.39,0.21
0.75,0.2,0.28
0.76,0.01,0.23
0.77,0.09,0.16
0.78,0.33,0.13
0.79,0.42,0.19
0.8,0.24,0.26
0.81,0.07,0.26
0.82,0.16,0.19
0.83,0.42,0.17
0.84,0.51,0.24
0.85,0.35,0.33
0.86,0.19,0.35
0.87,0.3,0.28
0.88,0.57,0.29
0.89,0.68,0.35
0.9,0.53,0.47
0.91,0.38,0.5
0.92,0.5,0.44
0.93,0.78,0.46
0.94,0.9,0.56
0.95,0.75,0.66
0.96,0.61,0.71
0.97,0.73,0.64
0.98,1.02,0.68
0.99,1.14,0.79
1,1,0.89
1.01,0.86,0.95
1.02,0.98,0.88
1.03,1.27,0.92
1.04,1.39,1.04
1.05,1.25,1.13
1.06,1.1,1.2
1.07,1.22,1.14
1.08,1.5,1.17
1.09,1.62,1.29
1.1,1.47,1.38
1.11,1.32,1.43
1.12,1.43,1.38
1.13,1.7,1.39
1.14,1.81,1.5
1.15,1.65,1.59
1.16,1.49,1.63
1.17,1.58,1.57
1.18,1.84,1.56
1.19,1.93,1.66
1.2,1.76,1.75
1.21,1.58,1.76
1.22,1.67,1.69
1.23,1.91,1.67
1.24,1.99,1.76
1.25,1.8,1.83
1.26,1.61,1.83
1.27,1.68,1.75
1.28,1.9,1.7
1.29,1.97,1.78
1.3,1.76,1.83
1.31,1.55,1.82
1.32,1.61,1.72
1.33,1.82,1.66
1.34,1.87,1.72
1.35,1.65,1.76
1.36,1.43,1.74
1.37,1.47,1.63
1.38,1.67,1.54
1.39,1.7,1.6
1.4,1.47,1.63
1.41,1.24,1.57
1.42,1.27,1.47
1.43,1.46,1.36
1.44,1.48,1.42
1.45,1.25,1.43
1.46,1.01,1.36
1.47,1.03,1.26
1.48,1.22,1.14
1.49,1.24,1.19
1.5,1,1.2
1.51,0.76,1.12
1.52,0.78,1.03
1.53,0.97,0.91
1.54,0.99,0.94
1.55,0.75,0.96
1.56,0.52,0.87
1.57,0.54,0.77
1.58,0.73,0.66
1.59,0.76,0.69
1.6,0.53,0.73
1.61,0.3,0.64
1.62,0.33,0.54
1.63,0.53,0.45
1.64,0.57,0.48
1.65,0.35,0.53
1.66,0.13,0.45
1.67,0.18,0.35
1.68,0.39,0.29
1.69,0.45,0.32
1.7,0.24,0.38
1.71,0.03,0.31
1.72,0.1,0.22
1.73,0.32,0.17
1.74,0.39,0.22
1.75,0.2,0.29
1.76,0.01,0.24
1.77,0.09,0.16
1.78,0.33,0.13
1.79,0.42,0.2
1.8,0.24,0.28
1.81,0.07,0.25
1.82,0.16,0.19
1.83,0.42,0.18
1.84,0.51,0.24
1.85,0.35,0.34
1.86,0.19,0.32
1.87,0.3,0.28
1.88,0.57,0.3
1.89,0.68,0.37
1.9,0.53,0.48
1.91,0.38,0.46
1.92,0.5,0.45
1.93,0.78,0.48
1.94,0.9,0.54
1.95,0.75,0.68
1.96,0.61,0.69
1.97,0.73,0.65
1.98,1.02,0.7
1.99,1.14,0.76
2,1,0.91
2.01,0.86,0.93
2.02,0.98,0.89
2.03,1.27,0.94
2.04,1.39,1.02
2.05,1.25,1.15
2.06,1.1,1.18
2.07,1.22,1.13
2.08,1.5,1.18
2.09,1.62,1.27
2.1,1.47,1.4
2.11,1.32,1.42
2.12,1.43,1.35
2.13,1.7,1.4
2.14,1.81,1.49
2.15,1.65,1.6
2.16,1.49,1.61
2.17,1.58,1.55
2.18,1.84,1.58
2.19,1.93,1.65
2.2,1.76,1.75
2.21,1.58,1.75
2.22,1.67,1.68
2.23,1.91,1.69
2.24,1.99,1.75
2.25,1.8,1.83
2.26,1.61,1.83
2.27,1.68,1.74
2.28,1.9,1.73
2.29,1.97,1.78
2.3,1.76,1.84
2.31,1.55,1.82
2.32,1.61,1.72
2.33,1.82,1.7
2.34,1.87,1.73
2.35,1.65,1.77
2.36,1.43,1.74
2.37,1.47,1.62
2.38,1.67,1.57
2.39,1.7,1.61
2.4,1.47,1.63
2.41,1.24,1.6
2.42,1.27,1.46
2.43,1.46,1.39
2.44,1.48,1.42
2.45,1.25,1.43
2.46,1.01,1.4
2.47,1.03,1.25
2.48,1.22,1.16
2.49,1.24,1.2
2.5,1,1.19
2.51,0.76,1.15
2.52,0.78,1.01
2.53,0.97,0.91
2.54,0.99,0.95
2.55,0.75,0.92
2.56,0.52,0.88
2.57,0.54,0.76
2.58,0.73,0.67
2.59,0.76,0.72
2.6,0.53,0.68
2.61,0.3,0.65
2.62,0.34,0.54
2.63,0.53,0.45
2.64,0.57,0.48
2.65,0.35,0.48
2.66,0.13,0.45
2.67,0.18,0.36
2.68,0.39,0.28
2.69,0.45,0.32
2.7,0.24,0.33
2.71,0.03,0.31
2.72,0.1,0.21
2.73,0.32,0.17
2.74,0.39,0.22
2.75,0.2,0.25
2.76,0.01,0.25
2.77,0.09,0.17
2.78,0.33,0.14
2.79,0.42,0.2
2.8,0.24,0.27
2.81,0.07,0.25
2.82,0.16,0.19
2.83,0.42,0.17
2.84,0.51,0.25
2.85,0.35,0.35
2.86,0.19,0.33
2.87,0.3,0.29
2.88,0.57,0.28
2.89,0.68,0.37
2.9,0.53,0.49
2.91,0.38,0.48
2.92,0.5,0.46
2.93,0.78,0.44
2.94,0.9,0.55
2.95,0.75,0.69
2.96,0.61,0.67
2.97,0.73,0.66
2.98,1.02,0.68
2.99,1.14,0.78
3,1,0.92
